trigger_name|t90    |t90_error|t90_start|ra        |dec      |error_radius|lii     |bii     |fluence  |fluence_error|flux_64  |flux_64_error|flux_64_time
bn140219824 | 77.056|    2.996|   -2.560|10 32 48.0| 07 12 00|      2.2000|237.7204| 51.5761|2.8449E-6|     4.254E-8|   5.0833|       1.1691|      -0.512
bn140223495 | 17.408|    2.064|   -0.768|09 24 28.8|-30 24 00|      5.5500|258.6279| 14.1582|1.9792E-6|     3.349E-8|   3.2358|       1.0521|      -0.704
bn140224382 |  2.304|    2.111|   -0.512|00 11 07.2| 20 22 12|      5.9300|110.2761|-41.5088|6.5848E-7|    4.2604E-8|   8.8097|       1.3530|       1.728
bn140224788 | 17.152|    1.846|   -1.792|01 34 57.6| 39 28 48|      3.6900|132.0135|-22.6230|2.4179E-6|    6.2818E-8|   4.0883|       1.1132|       0.768
bn140227738 | 17.152|    9.073|  -16.384|15 41 14.4| 31 33 00|      8.1900| 50.2147| 52.9593|7.1384E-7|    8.1803E-8|   4.6373|       1.2834|      -3.008
bn140302342 | 67.584|    5.655|    0.256|16 55 26.2|-12 52 42|      0.0006|  7.0395| 18.6024|5.9576E-6|    4.4491E-8|   5.3283|       1.0488|       0.128
bn140304557 | 31.232|    8.719|   -5.376|02 02 33.9| 33 28 28|      0.0006|139.5582|-27.0906|2.4286E-6|    3.1646E-8|   4.1524|       0.7983|       0.960
bn140304849 |232.708|    1.145|    1.024|23 36 43.2|-27 01 48|      3.3100| 28.9857|-73.3833|8.3213E-6|    5.2375E-8|   6.6914|       1.5029|     199.619
bn140306146 | 51.713|    0.810|    1.088|01 51 45.6| 48 58 48|      0.2100|133.0133|-12.7074|5.7804E-5|    8.8872E-8|  19.0143|       1.3301|       3.840
bn140308710 | 12.032|    1.846|    0.768|23 20 38.4| 73 01 48|      2.6700|116.3357| 11.3317|6.4391E-6|    3.8585E-8|  27.4105|       1.7695|       2.112
bn140311453 | 14.912|    1.619|   -1.024|02 36 09.6|-25 13 48|      5.2900|214.2514|-66.4707|3.6991E-6|    5.4037E-8|   6.7160|       1.4671|       8.448
bn140311618 | 14.336|    5.684|   -3.072|12 14 36.0| 62 48 36|      3.3200|130.0459| 53.8065|3.9747E-6|     1.239E-7|  12.7462|       1.5142|       0.384
bn140311885 | 72.193|    8.764|   -4.352|16 49 09.8| 52 44 49|      0.0500| 80.3932| 39.5637| 7.024E-6|    6.7481E-8|   5.8091|       1.5487|      17.024
bn140319964 | 50.369|    1.448|   -1.408|09 04 02.4| 81 31 48|      3.6400|131.2490| 31.5132| 7.133E-6|    3.4562E-8|  10.4102|       1.3323|      15.296
bn140320092 |  2.304|    1.527|   -1.216|18 47 26.4|-11 10 12|      0.0500| 22.5216| -4.1922|1.0165E-7|    9.7106E-9|   3.3692|       1.0056|       0.000
bn140322424 | 10.496|    2.111|   -2.048|16 41 12.0|-69 27 00|      6.6000|320.7679|-15.0011|2.0052E-6|    2.7716E-8|   7.0320|       1.1469|       2.752
bn140323433 |111.426|    3.027|    5.056|23 47 50.2|-79 54 18|      0.0006|306.3699|-36.7950|3.2424E-5|    1.9208E-7|  13.1489|       1.2081|      25.408
bn140327065 | 11.520|    7.286|   -4.864|18 52 28.8|-06 09 00|      5.3100| 27.5718| -3.0309|8.7854E-7|    4.2226E-8|   5.1235|       1.2422|       3.904
bn140328560 |  4.160|    0.653|   -1.088|21 20 09.6| 17 58 12|     14.7000| 68.2369|-21.7729|7.4671E-7|    1.2466E-8|   4.1173|       0.9249|      -0.512
bn140329272 |  0.064|    0.295|   -0.032|06 09 24.0|-41 04 48|      9.1800|248.0961|-24.9608|2.3798E-7|    8.4588E-9|   7.7014|       0.9803|      -0.064
bn140329295 | 21.248|    1.056|    5.648|09 42 47.5|-32 13 44|      0.2000|262.8427| 15.5880|6.7004E-5|    3.3216E-8| 128.2610|       3.9240|      24.080
bn140330180 | 34.049|   10.509|    0.256|21 52 16.3|-57 44 42|      0.3620|335.8887|-46.2775|5.6892E-6|    8.7242E-8|   6.0439|       1.0832|       1.088
bn140402007 |  0.320|    0.630|   -0.128|13 50 22.1| 05 58 16|      0.0500|339.0973| 64.6210|2.8428E-7|    2.9008E-8|   4.6006|       0.7449|      -0.064
bn140404030 | 84.992|    5.910|  -72.704|00 59 33.6| 78 53 24|      4.8800|123.3389| 16.0247|1.9232E-6|    6.2145E-8|   3.7486|       1.1274|      15.680
bn140404171 | 26.624|    0.326|    0.192|11 30 55.2| 33 10 48|      2.1900|188.8493| 71.6094|8.1801E-6|    2.3282E-8|   4.9212|       0.9972|      11.136
